movie_id,title,year,academy_award,won,run_time,budget,box_office,starring 1,starring 2,starring 3,starring 4,starring 5,starring 6,starring 7,starring 8,starring 9,starring 10,starring 11,starring 12,starring 13,starring 14,starring 15,starring 16,starring 17,starring 18,starring 19
the-oxbow-incident-1943,The Ox-Bow Incident,1943,16,no,75,0.565,NA,,,,,,,,,,,,,,,,,,,
the-song-of-bernadette-1943,The Song of Bernadette,1943,16,no,155,1.6,5,,,,,,,,,,,,,,,,,,,
watch-on-the-rhine-1943,Watch on the Rhine,1943,16,no,114,NA,2.5,,,,,,,,,,,,,,,,,,,
going-my-way-1944,Going My Way,1944,17,yes,126,NA,7.8,Bing Crosby, Barry Fitzgerald, Risë Stevens,,,,,,,,,,,,,,,,
double-indemnity-1944,Double Indemnity,1944,17,no,107,0.98,5,Fred MacMurray, Barbara Stanwyck, Edward G. Robinson, Porter Hall, Jean Heather, Byron Barr, Richard Gaines, John Philliber,,,,,,,,,,,
gaslight-1944,Gaslight,1944,17,no,114,2.068,4.613,,,,,,,,,,,,,,,,,,,
since-you-went-away-1944,Since You Went Away,1944,17,no,172,3.257,7,,,,,,,,,,,,,,,,,,,
wilson-1944,Wilson,1944,17,no,154,2.995,NA,,,,,,,,,,,,,,,,,,,
the-lost-weekend-1945,The Lost Weekend,1945,18,yes,99,1.25,4.3,,,,,,,,,,,,,,,,,,,
anchors-aweigh-1945,Anchors Aweigh,1945,18,no,143,2.58,7.475,,,,,,,,,,,,,,,,,,,
the-bells-of-st-marys-1945,The Bells of St. Mary's,1945,18,no,126,1.3,NA,Bing Crosby, Ingrid Bergman,,,,,,,,,,,,,,,,,
mildred-pierce-1945,Mildred Pierce,1945,18,no,111,1.453,5.638,,,,,,,,,,,,,,,,,,,
spellbound-1945,Spellbound,1945,18,no,111,1.5,NA,,,,,,,,,,,,,,,,,,,
the-best-years-of-our-lives-1946,The Best Years of Our Lives,1946,19,yes,172,2.1,23.7,Myrna Loy, Fredric March, Dana Andrews, Teresa Wright, Virginia Mayo, Harold Russell,,,,,,,,,,,,,
henry-v-1946,Henry V,1946,19,no,136,8.06,2,,,,,,,,,,,,,,,,,,,
its-a-wonderful-life-1946,It's a Wonderful Life,1946,19,no,130,3.18,3.3,,,,,,,,,,,,,,,,,,,
the-razors-edge-1946,The Razor's Edge,1946,19,no,145,1.2,5,,,,,,,,,,,,,,,,,,,
the-yearling-1946,The Yearling,1946,19,no,128,3.883,7.599,,,,,,,,,,,,,,,,,,,
gentlemans-agreement-1947,Gentleman's Agreement,1947,20,yes,118,1.985,7.8,,,,,,,,,,,,,,,,,,,
the-bishops-wife-1947,The Bishop's Wife,1947,20,no,109,NA,3,,,,,,,,,,,,,,,,,,,
crossfire-1947,Crossfire,1947,20,no,86,0.678,2.5,,,,,,,,,,,,,,,,,,,
great-expectations-1947,Great Expectations,1947,20,no,118,NA,2,,,,,,,,,,,,,,,,,,,
miracle-on-34th-street-1947,Miracle on 34th Street,1947,20,no,96,0.63,2.7,,,,,,,,,,,,,,,,,,,
